typ,question,response,gold_answers,BERT_precision,BERT_recall,BERT_F1,BLEURT-Score,ragas_answer_correctness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall,ragas_faithfulness,llm_accuracy,llm_relevance,llm_completeness,llm_overall
hybrid_50_50,Is Python an interpreted language?,"Yes, Python is an interpreted language. It includes a read–eval–print loop (REPL) and has implementations like CPython. Python code is compiled into bytecode and executed by its virtual machine.",Yes,-0.005626655649393797,0.3540012240409851,0.16843678057193756,0.36687856912612915,0.18917718744558892,1.0000000000000004,0.733333333315,1.0,1.0,1.0,1.0,0.9,0.966
hybrid_50_50,Is Python a strongly typed language?,"Yes, Python is considered a strongly typed language. It forbids operations that are not well-defined and has typed objects, but untyped variable names. Operations on objects may fail if they are not of a suitable type, but type constraints are not checked at compile time.",No,-0.005626655649393797,0.3540012240409851,0.16843678057193756,0.39777618646621704,0.18281737892295627,0.9901703522780602,0.9999999999666667,1.0,1.0,0.0,0.5,0.5,0.33
hybrid_50_50,Compare Python's list and tuple data structures based on mutability.,"In Python, lists are mutable, written as [1, 2, 3], and cannot be used as keys in dictionaries. Tuples are immutable, written as (1, 2, 3), and can be used as keys in dictionaries. The + operator can concatenate tuples without modifying their contents.",Lists are mutable while tuples are immutable.,-0.005626655649393797,0.3540012240409851,0.16843678057193756,0.6868358254432678,0.4728064631707349,0.8760147598031964,0.7095238095060713,1.0,1.0,0.5,1.0,0.5,0.67
hybrid_50_50,Compare Python's '==' operator and 'is' operator in terms of functionality.,"In Python, the '==' operator compares values, while the 'is' operator is used to compare object identities (comparison by reference). The '==' operator checks if the values of two objects are the same, while the 'is' operator checks if the two objects refer to the same memory location. Comparisons can be chained with '==' (e.g., a <= b <= c), but 'is' is used for direct identity comparison.","'==' checks for equality of values, while 'is' checks for object identity.",-0.005626655649393797,0.3540012240409851,0.16843678057193756,0.5865404009819031,0.7315984355913352,0.9239071138730202,0.9999999999,1.0,1.0,0.8,0.9,0.8,0.83
hybrid_50_50,Is Java a statically typed language?,"Yes, Java is a statically typed language. This means that the types of all variables must be known at compilation time, and assigning a value of a different type to a variable causes a compilation error.",Yes,-0.005626655649393797,0.3540012240409851,0.16843678057193756,0.39138340950012207,0.19006400576100518,1.0000000000000004,0.698412698389418,1.0,0.3333333333333333,1.0,1.0,1.0,1.0
hybrid_50_50,Does Java support multiple inheritance?,"No, Java does not support multiple inheritance. Java allows a class to implement multiple interfaces but can only inherit from one base class.",No,-0.005626655649393797,0.3540012240409851,0.16843678057193756,0.448835551738739,0.19085732967428456,1.0000000000000002,0.698412698389418,0.0,1.0,1.0,1.0,1.0,1.0
hybrid_50_50,Compare Java and Python based on their performance.,"Python's performance compared to other programming languages is benchmarked by The Computer Language Benchmarks Game, showing that Python's performance on non-numerical workloads is comparable to that of C++. On the other hand, Java's performance is also improving, and it is known for its speed and efficiency, especially in numerical code. Additionally, there are tools like Jython that compile Python to Java bytecode, allowing Python programs to utilize Java libraries.",Java is generally faster than Python due to its static typing and compilation to bytecode.,-0.005626655649393797,0.3540012240409851,0.16843678057193756,0.4960342049598694,0.36867354711085987,0.9212618987242179,0.0,1.0,0.6666666666666666,0.7,0.8,0.7,0.73
hybrid_50_50,Compare Java and C++ in terms of memory management.,"Java and C++ handle memory management differently. In Java, memory management is automatic through garbage collection, which can lead to unpredictable pauses in the program's execution. C++, on the other hand, requires manual memory management using pointers, which can be error-prone but offers more control over memory allocation and deallocation. C++ allows for more fine-tuning of memory usage, while Java abstracts memory management to provide a simpler development experience.",Java has automatic garbage collection while C++ requires manual memory management.,-0.005626655649393797,0.3540012240409851,0.16843678057193756,0.5696974992752075,0.48328274932746573,0.9511731717328619,0.4166666666458333,1.0,0.0,0.5,0.5,0.5,0.5
hybrid_50_50,Is C# a statically-typed language?,"Yes, C# is a statically-typed language. It supports strongly typed variable declarations and implicitly typed arrays. The typing in C# is enforced at compile-time, during JIT, and sometimes at runtime.",Yes,-0.005626655649393797,0.3540012240409851,0.16843678057193756,0.38894420862197876,0.18947253341358242,1.0,0.7611111110920833,1.0,1.0,1.0,1.0,0.9,0.966
hybrid_50_50,Does C# support multiple inheritance?,"No, C# does not support multiple inheritance. However, a class can implement any number of ""interfaces"" which are fully abstract classes. This was a design decision to simplify architectural requirements throughout CLI.",No,-0.005626655649393797,0.3540012240409851,0.16843678057193756,0.305605947971344,0.1869840960917642,0.9999999999999999,0.9999999999,0.0,1.0,1.0,1.0,0.9,0.9666666666666667
