typ,question,response,gold_answers,BERT_precision,BERT_recall,BERT_F1,BLEURT-Score,ragas_answer_correctness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall,ragas_faithfulness,llm_accuracy,llm_relevance,llm_completeness,llm_overall
hybrid_50_50,Which arithmetic operations does Python have?,"Python has arithmetic operations such as addition (+), subtraction (-), multiplication (*), division (/), floor division (//), modulo (%), and exponentiation (**).","addition (+), subtraction (-), multiplication (*), division (/), floor division (//), modulo operation (%), ** operator for exponentiation.",0.3138453960418701,0.46939799189567566,0.388448029756546,0.5992398372402897,0.9786065209481608,0.9829858182609265,0.499999999975,0.6666666666666666,1.0,0.75,1.0,0.75,0.83
hybrid_50_50,Is JavaScript case-sensitive?,"Yes, JavaScript is case-sensitive. This means that variables, functions, and other identifiers must be written with the correct capitalization to be recognized by the language.","Yes, Javascript is case-sensitive",0.3138453960418701,0.46939799189567566,0.388448029756546,0.5992398372402897,0.23171586415526105,1.0000000000000007,0.0,1.0,1.0,1.0,1.0,0.9,0.9666666666666667
hybrid_50_50,Does C++ support operator overloading?,"Yes, C++ supports operator overloading. Almost all operators can be overloaded for user-defined types, with a few exceptions such as member access (. and .*) and the conditional operator. This feature is central to making user-defined types in C++ seem like built-in types.","Yes, C++ does support operator overloading",0.3138453960418701,0.46939799189567566,0.388448029756546,0.5992398372402897,0.23157815674985274,1.0000000000000007,0.6777777777608334,1.0,1.0,1.0,1.0,0.9,0.9666666666666667
hybrid_50_50,Is C faster than Python?,"Yes, C is generally faster than Python due to its lower-level nature and direct hardware interaction. Python's performance is often influenced by C, and languages like Rust can also be faster than Python due to their memory management. Additionally, Cython compiles Python to C for improved performance. PyPy, a Python interpreter, can sometimes offer speed improvements over CPython through its just-in-time compiler.","Yes, C is generally faster than Python.",0.3138453960418701,0.46939799189567566,0.388448029756546,0.5992398372402897,0.5324932575819851,0.9765456920722616,0.26666666665333333,1.0,0.4,1.0,1.0,0.8,0.93
hybrid_50_50,Does Java have a stricter type checking than JavaScript,"Yes, Java has static typing, which means it has stricter type checking compared to JavaScript, which is dynamically typed and has weaker type checking.","Yes, Java has a stricter type checking than JavaScript",0.3138453960418701,0.46939799189567566,0.388448029756546,0.5992398372402897,0.23889227222982973,0.8992745445038163,0.35158730157851187,1.0,0.5,0.5,1.0,0.5,0.67
hybrid_50_50,Is Ruby more similar to Perl or Python?,"Ruby is more similar to Perl in terms of syntax, while its semantics are more similar to Smalltalk. The design philosophy of Ruby differs greatly from Python's.",Ruby is more similar to Perl in terms of syntax and some language features.,0.3138453960418701,0.46939799189567566,0.388448029756546,0.5992398372402897,0.536470546014473,0.9007475654993716,0.863492063477672,1.0,1.0,0.8,0.9,0.8,0.83
hybrid_50_50,What does the public keyword mean in Java?,"In Java, the public keyword means that the class, method, or variable declared as public can be accessed from anywhere in the program. It is the highest level of visibility in Java and allows other classes to interact with the public entity.","The public keyword in Java is an access modifier that indicates that the member (such as class, method or variable) is accessible from any other class in any package",0.3138453960418701,0.46939799189567566,0.388448029756546,0.5992398372402897,0.2347837959229626,1.0000000000000002,0.8928571428348213,1.0,0.0,0.9,1.0,0.9,0.933
hybrid_50_50,What is a goroutine in Go?,"A goroutine in Go is a type of green thread that allows you to start a function in a new concurrent execution. It is a primary concurrency construct in Go and is created using the go keyword before a function call. Goroutines can be used to achieve concurrent programming in Go by allowing multiple functions to run concurrently. They are lightweight and can be multiplexed onto a smaller set of operating-system threads. Channels are used to communicate between goroutines in Go, ensuring safe data sharing.",A goroutine in Go is a lightweight thread managed by the Go runtime.,0.3138453960418701,0.46939799189567566,0.388448029756546,0.5992398372402897,0.44636764913234134,1.0000000000000002,0.7544444444293555,1.0,0.9,0.8,0.9,0.8,0.83
hybrid_50_50,How do you define a function in Ruby?,"To define a function in Ruby, you use the `def` statement followed by the function name and any parameters it may take. For example: `def my_function(param1, param2)`. You can then write the code for the function inside the block that follows the `def` statement.","In Ruby, a function is defined using the def keyword followed by the function name, optional parameters and a block of code. The function is ended with the end keyword.",0.3138453960418701,0.46939799189567566,0.388448029756546,0.5992398372402897,0.5713755366754778,0.9999999999999994,0.698412698389418,1.0,1.0,0.8,0.9,0.8,0.83
hybrid_50_50,Which versions of Java introduced both generic and annotiations?,Java 5.0 introduced both generics and annotations.,Java introduced both generics and annotations in Java 5 (JDK 1.5),0.3138453960418701,0.46939799189567566,0.388448029756546,0.5992398372402897,0.2407709695650938,0.8470754462343503,0.36666666664833336,1.0,0.5,0.9,1.0,0.9,0.93
